activity_comment	activity_id	assay_chembl_id	assay_description	assay_type	canonical_smiles	data_validity_comment	molecule_chembl_id	relation	standard_type	standard_units	standard_value	target_chembl_id	target_organism	type	units	value
	2903739	CHEMBL1043736	Binding constant for full-length CDK3	B	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1		CHEMBL522892	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903740	CHEMBL1043736	Binding constant for full-length CDK3	B	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21		CHEMBL558752	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903741	CHEMBL1043736	Binding constant for full-length CDK3	B	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1		CHEMBL31965	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903742	CHEMBL1043736	Binding constant for full-length CDK3	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903743	CHEMBL1043736	Binding constant for full-length CDK3	B	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1		CHEMBL483321	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903744	CHEMBL1043736	Binding constant for full-length CDK3	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903745	CHEMBL1043736	Binding constant for full-length CDK3	B	CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C		CHEMBL607707	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903746	CHEMBL1043736	Binding constant for full-length CDK3	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903747	CHEMBL1043736	Binding constant for full-length CDK3	B	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		CHEMBL428690	=	Kd	nM	410.0	CHEMBL4442	Homo sapiens	Kd	nM	410.0
	2903748	CHEMBL1043736	Binding constant for full-length CDK3	B	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1		CHEMBL939	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903749	CHEMBL1043736	Binding constant for full-length CDK3	B	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1		CHEMBL261849	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903750	CHEMBL1043736	Binding constant for full-length CDK3	B	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O		CHEMBL477772	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903751	CHEMBL1043736	Binding constant for full-length CDK3	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903752	CHEMBL1043736	Binding constant for full-length CDK3	B	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F		CHEMBL191003	=	Kd	nM	180.0	CHEMBL4442	Homo sapiens	Kd	nM	180.0
	2903753	CHEMBL1043736	Binding constant for full-length CDK3	B	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1		CHEMBL554	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903754	CHEMBL1043736	Binding constant for full-length CDK3	B	CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1		CHEMBL91829	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903755	CHEMBL1043736	Binding constant for full-length CDK3	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903756	CHEMBL1043736	Binding constant for full-length CDK3	B	O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1		CHEMBL259084	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903757	CHEMBL1043736	Binding constant for full-length CDK3	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903758	CHEMBL1043736	Binding constant for full-length CDK3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903759	CHEMBL1043736	Binding constant for full-length CDK3	B	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1		CHEMBL101253	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903760	CHEMBL1043736	Binding constant for full-length CDK3	B	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1		CHEMBL14762	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903761	CHEMBL1043736	Binding constant for full-length CDK3	B	Oc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL278041	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903762	CHEMBL1043736	Binding constant for full-length CDK3	B	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1		CHEMBL10	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903763	CHEMBL1043736	Binding constant for full-length CDK3	B	NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1		CHEMBL440084	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903764	CHEMBL1043736	Binding constant for full-length CDK3	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903765	CHEMBL1043736	Binding constant for full-length CDK3	B	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL388978	=	Kd	nM	30.0	CHEMBL4442	Homo sapiens	Kd	nM	30.0
	2903766	CHEMBL1043736	Binding constant for full-length CDK3	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1		CHEMBL1721885	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903767	CHEMBL1043736	Binding constant for full-length CDK3	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903768	CHEMBL1043736	Binding constant for full-length CDK3	B	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1		CHEMBL572878	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903769	CHEMBL1043736	Binding constant for full-length CDK3	B	O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl		CHEMBL119385	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2903770	CHEMBL1043736	Binding constant for full-length CDK3	B	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1		CHEMBL24828	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	2921407	CHEMBL1052885	Inhibition of CDK3 assessed as enzyme activity at 1 uM relative to untreated control	B	Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl		CHEMBL3215582	=	Activity	%	84.0	CHEMBL4442	Homo sapiens	Activity	%	84.0
	3062450	CHEMBL1048643	Binding affinity to human CDK3 at 200 nM by cell-based competition binding assay relative to control in presence of DTT	B	CO[C@@H]1[C@H](N(C)C(=O)CCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)N[C@H]2CSSC[C@@H](C(=O)NCC(N)=O)NC(=O)CNC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)NC2=O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL595545	=	Activity	%	100.0	CHEMBL4442	Homo sapiens	Activity	%	100.0
	3063585	CHEMBL1045171	Binding affinity to human CDK3 at 500 nM by cell-based competition binding assay relative to control in presence of DTT	B	CO[C@@H]1[C@H](N(C)C(=O)CCC(=O)NCCC(=O)NCCC(=O)NCCC(N)=O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL595546	=	Activity	%	87.0	CHEMBL4442	Homo sapiens	Activity	%	87.0
	3063675	CHEMBL1038886	Binding affinity to human CDK3 at 50 nM by cell-based competition binding assay relative to control in presence of DTT	B	CO[C@@H]1[C@H](N(C)C(=O)CCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)NCCC(=O)N[C@H]2CNC(=O)C[C@@H](C(N)=O)NC(=O)CNC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)NC2=O)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL609010	=	Activity	%	100.0	CHEMBL4442	Homo sapiens	Activity	%	100.0
	3065855	CHEMBL1069287	Inhibition of CDK3 at 10 uM	B	CN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21		CHEMBL607535	=	Inhibition	%	0.0	CHEMBL4442	Homo sapiens	INH	%	0.0
	3066921	CHEMBL1069287	Inhibition of CDK3 at 10 uM	B	O=C1Nc2ccccc2/C1=C1\C(=O)N(CCCc2ccccc2)c2ccccc21		CHEMBL607196	=	Inhibition	%	0.0	CHEMBL4442	Homo sapiens	INH	%	0.0
	3203249	CHEMBL1102995	Inhibition of CDK3	B	Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21		CHEMBL1082152	=	Kd	nM	80.0	CHEMBL4442	Homo sapiens	Kd	uM	0.08
	3213892	CHEMBL1114040	Inhibition of CDK3 at 5 uM	B	O=C(Nc1ccccc1Cl)c1cnc2ccc(C3CCNCC3)cn12.O=C(O)C(=O)O		CHEMBL1077739	=	Inhibition	%	-2.0	CHEMBL4442	Homo sapiens	INH	%	-2.0
	3331862	CHEMBL1168821	Inhibition of CDK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1		CHEMBL1165499	<	Inhibition	%	50.0	CHEMBL4442	Homo sapiens	INH	%	50.0
	3333277	CHEMBL1168821	Inhibition of CDK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1		CHEMBL1164180	<	Inhibition	%	50.0	CHEMBL4442	Homo sapiens	INH	%	50.0
	3334682	CHEMBL1168821	Inhibition of CDK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1		CHEMBL1164181	<	Inhibition	%	50.0	CHEMBL4442	Homo sapiens	INH	%	50.0
	3336102	CHEMBL1168821	Inhibition of CDK3 at 1 uM	B	CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1		CHEMBL1164265	<	Inhibition	%	50.0	CHEMBL4442	Homo sapiens	INH	%	50.0
	3340630	CHEMBL1168821	Inhibition of CDK3 at 1 uM	B	FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21		CHEMBL1163566	<	Inhibition	%	50.0	CHEMBL4442	Homo sapiens	INH	%	50.0
	3342046	CHEMBL1168821	Inhibition of CDK3 at 1 uM	B	CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1		CHEMBL1163565	<	Inhibition	%	50.0	CHEMBL4442	Homo sapiens	INH	%	50.0
	3358491	CHEMBL1174105	Inhibition of CDK3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1		CHEMBL1171523	=	Inhibition	%	24.0	CHEMBL4442	Homo sapiens	INH	%	24.0
	3358933	CHEMBL1174105	Inhibition of CDK3 at 10 uM	B	CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1		CHEMBL1170139	=	Inhibition	%	32.0	CHEMBL4442	Homo sapiens	INH	%	32.0
	3445058	CHEMBL1244759	Binding affinity to CDK3	B	C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O		CHEMBL603469	=	Kd	nM	420.0	CHEMBL4442	Homo sapiens	Kd	nM	420.0
	3448371	CHEMBL1244759	Binding affinity to CDK3	B	COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1		CHEMBL124660	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	3448708	CHEMBL1244759	Binding affinity to CDK3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	3449595	CHEMBL1244759	Binding affinity to CDK3	B	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1		CHEMBL576982	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	3450022	CHEMBL1244759	Binding affinity to CDK3	B	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1		CHEMBL1336	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	3450303	CHEMBL1244759	Binding affinity to CDK3	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	3450936	CHEMBL1244759	Binding affinity to CDK3	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O		CHEMBL1240703	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	uM	10.0
	6341028	CHEMBL1827758	Activity of CDK3 kinase at 1 uM	B	CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1		CHEMBL1822054	=	Activity	%	100.0	CHEMBL4442	Homo sapiens	Activity	%	100.0
	7567223	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1		CHEMBL491473	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7567682	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12		CHEMBL221959	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7568153	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1		CHEMBL941	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7568621	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1		CHEMBL450786	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7569196	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21		CHEMBL1614701	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7569656	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl		CHEMBL601719	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7570128	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1		CHEMBL1789941	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7570576	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		CHEMBL535	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7571172	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1		CHEMBL513909	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7571629	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1		CHEMBL1421	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7572126	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1		CHEMBL573339	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7572542	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1		CHEMBL509032	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7573153	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1		CHEMBL502835	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7573644	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1.Cl		CHEMBL1908395	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7574113	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4		CHEMBL608533	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7574521	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1		CHEMBL230011	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7575131	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1		CHEMBL1173655	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7575150	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1		CHEMBL553	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
	7575621	CHEMBL1908525	Binding constant for CDK3 kinase domain	B	COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c1nccs1		CHEMBL1908396	>	Kd	nM	10000.0	CHEMBL4442	Homo sapiens	Kd	nM	10000.0
